id,source,title,content
enterprise-count-全国-2012,dataset,全国 2012年 企業数,Dataset observation: geography=全国; year=2012; enterprise_count=3863530; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-大阪府-2021,dataset,大阪府 2021年 企業数,Dataset observation: geography=大阪府; year=2021; enterprise_count=262619; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-愛知県-2012,dataset,愛知県 2012年 企業数,Dataset observation: geography=愛知県; year=2012; enterprise_count=224343; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-愛知県-2014,dataset,愛知県 2014年 企業数,Dataset observation: geography=愛知県; year=2014; enterprise_count=221411; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-愛知県-2016,dataset,愛知県 2016年 企業数,Dataset observation: geography=愛知県; year=2016; enterprise_count=208948; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-愛知県-2021,dataset,愛知県 2021年 企業数,Dataset observation: geography=愛知県; year=2021; enterprise_count=195912; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-東京都-2012,dataset,東京都 2012年 企業数,Dataset observation: geography=東京都; year=2012; enterprise_count=447113; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-東京都-2014,dataset,東京都 2014年 企業数,Dataset observation: geography=東京都; year=2014; enterprise_count=452197; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-東京都-2016,dataset,東京都 2016年 企業数,Dataset observation: geography=東京都; year=2016; enterprise_count=417988; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-東京都-2021,dataset,東京都 2021年 企業数,Dataset observation: geography=東京都; year=2021; enterprise_count=423595; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-神奈川県-2012,dataset,神奈川県 2012年 企業数,Dataset observation: geography=神奈川県; year=2012; enterprise_count=200690; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-神奈川県-2014,dataset,神奈川県 2014年 企業数,Dataset observation: geography=神奈川県; year=2014; enterprise_count=200530; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-神奈川県-2016,dataset,神奈川県 2016年 企業数,Dataset observation: geography=神奈川県; year=2016; enterprise_count=188015; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
enterprise-count-神奈川県-2021,dataset,神奈川県 2021年 企業数,Dataset observation: geography=神奈川県; year=2021; enterprise_count=184197; unit=企業（会社及び個人事業者を含む原表の企業数定義）; source=2025年版中小企業白書 付属統計資料 6表 都道府県別規模別企業数（民営、非一次産業、2012年、2014年、2016年、2021年）; publisher=中小企業庁; retrieved_at=2026-09-18. This is a deterministic transcription of the published table and does not by itself establish a causal explanation.
